Month,Day,Total Sales (PKR),Shopping Category
January,17,1351910.99,Beauty & Grooming
January,17,2274343.0999999996,Men's Fashion
January,17,3009669.6100000003,Women's Fashion
January,18,1709234.7280000008,Beauty & Grooming
January,18,1365597.0220000003,Men's Fashion
January,18,3575683.650000003,Women's Fashion
February,17,1956864.58,Beauty & Grooming
February,17,3633187.6999999983,Men's Fashion
February,17,2611568.96,Women's Fashion
February,18,1496191.590000001,Beauty & Grooming
February,18,4463039.009999998,Men's Fashion
February,18,3343957.7749999994,Women's Fashion
March,17,1561298.93,Beauty & Grooming
March,17,2871971.2999999993,Men's Fashion
March,17,20060717.140000008,Women's Fashion
March,18,1841565.6300000001,Beauty & Grooming
March,18,3717166.0999999987,Men's Fashion
March,18,4242522.333999999,Women's Fashion
April,17,1556035.28,Beauty & Grooming
April,17,3731489.2499999986,Men's Fashion
April,17,9600504.719999997,Women's Fashion
April,18,1142565.69,Beauty & Grooming
April,18,1650443.7899999984,Men's Fashion
April,18,4729517.560000002,Women's Fashion
May,17,1643807.8400000005,Beauty & Grooming
May,17,6492851.079999989,Men's Fashion
May,17,11085900.75,Women's Fashion
May,18,1745655.4150000014,Beauty & Grooming
May,18,2224618.7174999993,Men's Fashion
May,18,4269967.952499997,Women's Fashion
June,17,2201043.400000002,Beauty & Grooming
June,17,3209949.1650000038,Men's Fashion
June,17,3300192.240000007,Women's Fashion
June,18,1948615.6399999987,Beauty & Grooming
June,18,1221532.9000000006,Men's Fashion
June,18,1924169.01,Women's Fashion
July,16,1031646,Beauty & Grooming
July,16,926063,Men's Fashion
July,16,1090747.5,Women's Fashion
July,17,1340661.047,Beauty & Grooming
July,17,1663646.5070000004,Men's Fashion
July,17,4722581.308499998,Women's Fashion
July,18,947057.7799999998,Beauty & Grooming
July,18,1422023.5700000003,Men's Fashion
July,18,3744408.4499999997,Women's Fashion
August,16,998726.5,Beauty & Grooming
August,16,1287095.38,Men's Fashion
August,16,897465.15,Women's Fashion
August,17,3343594.1099999994,Beauty & Grooming
August,17,3990658.200000001,Men's Fashion
August,17,10157818.500000006,Women's Fashion
August,18,1281703.2700000007,Beauty & Grooming
August,18,1211463.7900000014,Men's Fashion
August,18,3420425.7000000007,Women's Fashion
September,16,1001022.52,Beauty & Grooming
September,16,1127467.4999999998,Men's Fashion
September,16,1381079.5999999994,Women's Fashion
September,17,781168.8099999999,Beauty & Grooming
September,17,1235693.7899999996,Men's Fashion
September,17,4519459.999999999,Women's Fashion
October,16,917407.54,Beauty & Grooming
October,16,1289389.35,Men's Fashion
October,16,2811034.3000000003,Women's Fashion
October,17,1722851.44,Beauty & Grooming
October,17,1442771.0849999983,Men's Fashion
October,17,6364377.790000003,Women's Fashion
November,16,4038117.9899999844,Beauty & Grooming
November,16,12060717.659999976,Men's Fashion
November,16,8427463.640000004,Women's Fashion
November,17,6491542.380000025,Beauty & Grooming
November,17,16953891.771499977,Men's Fashion
November,17,15562588.015000014,Women's Fashion
December,16,1721953.44,Beauty & Grooming
December,16,2424638.4200000004,Men's Fashion
December,16,1577769.3000000003,Women's Fashion
December,17,2618360.7749999985,Beauty & Grooming
December,17,2437960.57,Men's Fashion
December,17,4717278.600000001,Women's Fashion
