Year,Month,Category (Top 3),Total Sales
2016,July,Appliances,1957054
2016,July,Entertainment,282466
2016,July,Mobiles & Tablets,2235760
2016,August,Appliances,1233019
2016,August,Entertainment,366643
2016,August,Mobiles & Tablets,8916398
2016,September,Appliances,2966878
2016,September,Entertainment,3293913
2016,September,Mobiles & Tablets,7349225
2016,October,Appliances,1429231
2016,October,Entertainment,691533.3
2016,October,Mobiles & Tablets,4865399.71
2016,November,Appliances,19061997
2016,November,Entertainment,13322517
2016,November,Mobiles & Tablets,21693968.35
2016,December,Appliances,1800263
2016,December,Entertainment,1133314
2016,December,Mobiles & Tablets,11543200.55
2017,January,Appliances,1066291
2017,January,Entertainment,836886
2017,January,Mobiles & Tablets,15416397
2017,February,Appliances,299320
2017,February,Entertainment,564507
2017,February,Mobiles & Tablets,11624022
2017,March,Appliances,3299103.5
2017,March,Entertainment,1583800
2017,March,Mobiles & Tablets,10365812
2017,April,Appliances,3039078
2017,April,Entertainment,969223
2017,April,Mobiles & Tablets,9758277
2017,May,Appliances,11493945.9
2017,May,Entertainment,7213399.18
2017,May,Mobiles & Tablets,18661566
2017,June,Appliances,2126925
2017,June,Entertainment,956836.18
2017,June,Mobiles & Tablets,4309112.5
2017,July,Appliances,1411915
2017,July,Entertainment,3777033
2017,July,Mobiles & Tablets,5321913.4
2017,August,Appliances,2561194.06
2017,August,Entertainment,6895264
2017,August,Mobiles & Tablets,8999376.3
2017,September,Appliances,796208.69
2017,September,Entertainment,1507351.09
2017,September,Mobiles & Tablets,3629780
2017,October,Appliances,1401744.39
2017,October,Entertainment,5724543
2017,October,Mobiles & Tablets,13115404
2017,November,Appliances,59453898.93
2017,November,Entertainment,64945513.84
2017,November,Mobiles & Tablets,188851284.27
2017,December,Appliances,4584946.4
2017,December,Entertainment,1471263.09
2017,December,Mobiles & Tablets,6619396.86
2018,January,Appliances,4527372.8
2018,January,Entertainment,2625365.3
2018,January,Mobiles & Tablets,11296495.1
2018,February,Appliances,28969422.990000002
2018,February,Entertainment,29220573
2018,February,Mobiles & Tablets,54922292.14999999
2018,March,Appliances,24162836.700000003
2018,March,Entertainment,21532785
2018,March,Mobiles & Tablets,47440608.09000001
2018,April,Appliances,4971880
2018,April,Entertainment,988913
2018,April,Mobiles & Tablets,6894004.85
2018,May,Appliances,27851922.990000002
2018,May,Entertainment,18509448.09
2018,May,Mobiles & Tablets,55598531.15
2018,June,Appliances,4523914
2018,June,Entertainment,2378121
2018,June,Mobiles & Tablets,15860300
2018,July,Appliances,1372151
2018,July,Entertainment,1169963
2018,July,Mobiles & Tablets,12941089
2018,August,Appliances,3623945
2018,August,Entertainment,10933164
2018,August,Mobiles & Tablets,7879105.3
