Category,Total Sales(PKR)
Mobiles & Tablets,610941670.6129951
Appliances,233605147.4025003
Entertainment,192104342.87000144
Women's Fashion,141148869.55500016
Men's Fashion,86329669.72799967
Superstore,59119170.803499766
Others,58621918.61399999
Computing,48416962.3380001
Beauty & Grooming,48390603.31499978
Home & Living,38548147.64549994
Soghaat,25894424.275499884
Health & Sports,21353207.279500116
Kids & Baby,19414913.87299997
School & Education,3239237.3564999965
Books,1555181.9599999997
