Year,Category,Total Sales
2016,Appliances,29496716.089999877
2017,Appliances,97897704.17250046
2018,Appliances,106210727.13999888
2016,Beauty & Grooming,9708873.989999998
2017,Beauty & Grooming,26569139.581999846
2018,Beauty & Grooming,12112589.743000042
2016,Books,444630.87999999995
2017,Books,710523.45
2018,Books,400027.63000000006
2016,Computing,5200349.040000007
2017,Computing,20947918.36
2018,Computing,22268694.938000012
2016,Entertainment,16866536.340000004
2017,Entertainment,88023693.91999985
2018,Entertainment,87214112.60999979
2016,Health & Sports,4376227.739999996
2017,Health & Sports,8491904.9575
2018,Health & Sports,8485074.581999972
2016,Home & Living,7879657.940000041
2017,Home & Living,21331748.405500006
2018,Home & Living,9336741.3
2016,Kids & Baby,3435921.3200000008
2017,Kids & Baby,11189645.028000012
2018,Kids & Baby,4789347.524999999
2016,Men's Fashion,19115371.310000017
2017,Men's Fashion,49938413.51850026
2018,Men's Fashion,17275884.89950011
2016,Mobiles & Tablets,58446942.81999983
2017,Mobiles & Tablets,321206430.98300046
2018,Mobiles & Tablets,231288296.80999744
2016,Others,2773097.3200000003
2017,Others,3316225.5440000016
2018,Others,52532595.75
2016,School & Education,1184321.7200000002
2017,School & Education,1445731.2989999996
2018,School & Education,609184.3375000003
2016,Soghaat,7466252.3400000185
2017,Soghaat,13822625.426500052
2018,Soghaat,4605546.508999998
2016,Superstore,4708469.990000009
2017,Superstore,33609451.33399996
2018,Superstore,20801249.47949999
2016,Women's Fashion,16185559.489999965
2017,Women's Fashion,95712657.63350064
2018,Women's Fashion,29250652.431500066
